Frame: 0, Object ID: 1, Start: (553, 379), End: (582, 479)
Frame: 0, Object ID: 2, Start: (633, 458), End: (595, 375)
Frame: 0, Object ID: 3, Start: (516, 369), End: (516, 349)
Frame: 0, Object ID: 4, Start: (605, 300), End: (632, 385)
Frame: 0, Object ID: 5, Start: (521, 344), End: (487, 293)
Frame: 1, Object ID: 1, Start: (581, 475), End: (556, 391)
Frame: 1, Object ID: 2, Start: (630, 448), End: (593, 374)
Frame: 1, Object ID: 3, Start: (516, 369), End: (516, 349)
Frame: 1, Object ID: 4, Start: (632, 385), End: (610, 310)
Frame: 1, Object ID: 5, Start: (521, 344), End: (487, 293)
Frame: 2, Object ID: 1, Start: (581, 475), End: (556, 391)
Frame: 2, Object ID: 2, Start: (631, 449), End: (593, 373)
Frame: 2, Object ID: 3, Start: (516, 369), End: (516, 349)
Frame: 2, Object ID: 4, Start: (605, 297), End: (632, 385)
Frame: 2, Object ID: 5, Start: (521, 344), End: (487, 293)
Frame: 3, Object ID: 1, Start: (581, 475), End: (555, 390)
Frame: 3, Object ID: 2, Start: (631, 449), End: (593, 372)
Frame: 3, Object ID: 3, Start: (516, 369), End: (516, 349)
Frame: 3, Object ID: 4, Start: (631, 385), End: (610, 309)
Frame: 3, Object ID: 5, Start: (521, 343), End: (487, 293)
Frame: 4, Object ID: 1, Start: (584, 474), End: (554, 390)
Frame: 4, Object ID: 2, Start: (632, 448), End: (591, 372)
Frame: 4, Object ID: 3, Start: (516, 368), End: (516, 349)
Frame: 4, Object ID: 4, Start: (632, 385), End: (609, 309)
Frame: 4, Object ID: 5, Start: (521, 344), End: (486, 290)
Frame: 5, Object ID: 1, Start: (584, 473), End: (554, 389)
Frame: 5, Object ID: 2, Start: (590, 371), End: (632, 447)
Frame: 5, Object ID: 3, Start: (515, 368), End: (515, 350)
Frame: 5, Object ID: 4, Start: (631, 382), End: (608, 307)
Frame: 5, Object ID: 5, Start: (519, 344), End: (486, 290)
Frame: 6, Object ID: 1, Start: (584, 474), End: (553, 388)
Frame: 6, Object ID: 2, Start: (632, 446), End: (597, 384)
Frame: 6, Object ID: 3, Start: (515, 369), End: (515, 349)
Frame: 6, Object ID: 4, Start: (631, 383), End: (608, 306)
Frame: 6, Object ID: 5, Start: (519, 344), End: (486, 290)
Frame: 7, Object ID: 1, Start: (585, 473), End: (552, 388)
Frame: 7, Object ID: 2, Start: (588, 367), End: (631, 447)
Frame: 7, Object ID: 3, Start: (515, 369), End: (515, 349)
Frame: 7, Object ID: 4, Start: (631, 382), End: (607, 304)
Frame: 8, Object ID: 1, Start: (585, 473), End: (552, 387)
Frame: 8, Object ID: 2, Start: (588, 368), End: (632, 447)
Frame: 8, Object ID: 3, Start: (634, 377), End: (605, 304)
Frame: 8, Object ID: 4, Start: (519, 344), End: (486, 288)
Frame: 9, Object ID: 1, Start: (584, 473), End: (551, 383)
Frame: 9, Object ID: 2, Start: (632, 447), End: (595, 380)
Frame: 9, Object ID: 3, Start: (603, 303), End: (629, 359)
Frame: 9, Object ID: 4, Start: (518, 344), End: (486, 287)
Frame: 10, Object ID: 1, Start: (584, 474), End: (552, 386)
Frame: 10, Object ID: 2, Start: (587, 364), End: (632, 446)
Frame: 10, Object ID: 3, Start: (634, 376), End: (602, 300)
Frame: 10, Object ID: 4, Start: (518, 344), End: (486, 287)
Frame: 11, Object ID: 1, Start: (584, 474), End: (552, 385)
Frame: 11, Object ID: 2, Start: (631, 446), End: (598, 384)
Frame: 11, Object ID: 3, Start: (629, 359), End: (601, 300)
Frame: 11, Object ID: 4, Start: (516, 340), End: (486, 286)
Frame: 12, Object ID: 1, Start: (584, 473), End: (551, 384)
Frame: 12, Object ID: 2, Start: (586, 361), End: (631, 446)
Frame: 12, Object ID: 3, Start: (630, 359), End: (601, 300)
Frame: 12, Object ID: 4, Start: (515, 342), End: (485, 280)
Frame: 13, Object ID: 1, Start: (584, 473), End: (550, 383)
Frame: 13, Object ID: 2, Start: (632, 446), End: (597, 382)
Frame: 13, Object ID: 3, Start: (629, 358), End: (593, 285)
Frame: 13, Object ID: 4, Start: (513, 339), End: (486, 282)
Frame: 14, Object ID: 1, Start: (631, 446), End: (597, 381)
Frame: 14, Object ID: 2, Start: (584, 473), End: (548, 377)
Frame: 14, Object ID: 3, Start: (593, 283), End: (629, 358)
Frame: 14, Object ID: 4, Start: (512, 338), End: (485, 279)
Frame: 15, Object ID: 1, Start: (596, 456), End: (608, 481)
Frame: 15, Object ID: 2, Start: (580, 455), End: (548, 382)
Frame: 15, Object ID: 3, Start: (632, 443), End: (591, 373)
Frame: 15, Object ID: 4, Start: (592, 282), End: (629, 355)
Frame: 15, Object ID: 5, Start: (513, 338), End: (485, 280)
Frame: 16, Object ID: 1, Start: (597, 456), End: (608, 481)
Frame: 16, Object ID: 2, Start: (581, 455), End: (548, 381)
Frame: 16, Object ID: 3, Start: (630, 443), End: (595, 378)
Frame: 16, Object ID: 4, Start: (590, 279), End: (629, 356)
Frame: 16, Object ID: 5, Start: (513, 338), End: (485, 279)
Frame: 17, Object ID: 1, Start: (596, 455), End: (608, 481)
Frame: 17, Object ID: 2, Start: (580, 454), End: (547, 379)
Frame: 17, Object ID: 3, Start: (630, 444), End: (591, 369)
Frame: 17, Object ID: 4, Start: (513, 338), End: (485, 279)
Frame: 17, Object ID: 5, Start: (589, 277), End: (629, 356)
Frame: 18, Object ID: 1, Start: (596, 455), End: (608, 481)
Frame: 18, Object ID: 2, Start: (580, 454), End: (547, 378)
Frame: 18, Object ID: 3, Start: (630, 443), End: (590, 368)
Frame: 18, Object ID: 4, Start: (630, 356), End: (597, 293)
Frame: 18, Object ID: 5, Start: (513, 338), End: (485, 278)
Frame: 19, Object ID: 1, Start: (613, 472), End: (597, 472)
Frame: 19, Object ID: 2, Start: (581, 453), End: (545, 376)
Frame: 19, Object ID: 3, Start: (629, 438), End: (590, 368)
Frame: 19, Object ID: 4, Start: (629, 354), End: (596, 293)
Frame: 19, Object ID: 5, Start: (512, 338), End: (484, 276)
Frame: 20, Object ID: 1, Start: (609, 481), End: (593, 450)
Frame: 20, Object ID: 2, Start: (545, 376), End: (581, 453)
Frame: 20, Object ID: 3, Start: (623, 427), End: (588, 368)
Frame: 20, Object ID: 4, Start: (512, 338), End: (484, 276)
Frame: 21, Object ID: 1, Start: (581, 453), End: (544, 374)
Frame: 21, Object ID: 2, Start: (622, 427), End: (592, 372)
Frame: 21, Object ID: 3, Start: (629, 353), End: (594, 288)
Frame: 21, Object ID: 4, Start: (510, 334), End: (484, 275)
Frame: 22, Object ID: 1, Start: (606, 462), End: (606, 479)
Frame: 22, Object ID: 2, Start: (581, 453), End: (542, 370)
Frame: 22, Object ID: 3, Start: (622, 427), End: (589, 367)
Frame: 22, Object ID: 4, Start: (629, 354), End: (595, 289)
Frame: 22, Object ID: 5, Start: (503, 320), End: (484, 274)
Frame: 23, Object ID: 1, Start: (606, 461), End: (606, 479)
Frame: 23, Object ID: 2, Start: (581, 452), End: (541, 369)
Frame: 23, Object ID: 3, Start: (589, 365), End: (620, 425)
Frame: 23, Object ID: 4, Start: (629, 354), End: (594, 288)
Frame: 23, Object ID: 5, Start: (506, 319), End: (477, 261)
Frame: 24, Object ID: 1, Start: (606, 460), End: (606, 479)
Frame: 24, Object ID: 2, Start: (581, 452), End: (541, 369)
Frame: 24, Object ID: 3, Start: (620, 426), End: (590, 365)
Frame: 24, Object ID: 4, Start: (629, 355), End: (594, 287)
Frame: 24, Object ID: 5, Start: (507, 319), End: (474, 257)
Frame: 25, Object ID: 1, Start: (606, 479), End: (606, 459)
Frame: 25, Object ID: 2, Start: (542, 369), End: (575, 440)
Frame: 25, Object ID: 3, Start: (589, 363), End: (620, 425)
Frame: 25, Object ID: 4, Start: (627, 351), End: (593, 286)
Frame: 25, Object ID: 5, Start: (474, 257), End: (507, 319)
Frame: 26, Object ID: 1, Start: (596, 448), End: (608, 481)
Frame: 26, Object ID: 2, Start: (541, 369), End: (576, 439)
Frame: 26, Object ID: 3, Start: (588, 360), End: (620, 425)
Frame: 26, Object ID: 4, Start: (626, 350), End: (593, 284)
Frame: 26, Object ID: 5, Start: (503, 320), End: (482, 267)
Frame: 27, Object ID: 1, Start: (606, 480), End: (603, 456)
Frame: 27, Object ID: 2, Start: (575, 439), End: (541, 368)
Frame: 27, Object ID: 3, Start: (620, 425), End: (590, 366)
Frame: 27, Object ID: 4, Start: (626, 350), End: (593, 283)
Frame: 27, Object ID: 5, Start: (503, 320), End: (481, 266)
Frame: 28, Object ID: 1, Start: (596, 447), End: (608, 481)
Frame: 28, Object ID: 2, Start: (575, 439), End: (540, 368)
Frame: 28, Object ID: 3, Start: (620, 425), End: (587, 361)
Frame: 28, Object ID: 4, Start: (623, 345), End: (592, 282)
Frame: 28, Object ID: 5, Start: (473, 255), End: (507, 319)
Frame: 29, Object ID: 1, Start: (606, 480), End: (603, 454)
Frame: 29, Object ID: 2, Start: (575, 439), End: (540, 367)
Frame: 29, Object ID: 3, Start: (587, 356), End: (618, 424)
Frame: 29, Object ID: 4, Start: (623, 345), End: (592, 282)
Frame: 29, Object ID: 5, Start: (503, 320), End: (481, 266)
Frame: 30, Object ID: 1, Start: (603, 453), End: (606, 480)
Frame: 30, Object ID: 2, Start: (539, 364), End: (575, 439)
Frame: 30, Object ID: 3, Start: (588, 359), End: (619, 424)
Frame: 30, Object ID: 4, Start: (590, 278), End: (623, 345)
Frame: 30, Object ID: 5, Start: (503, 320), End: (480, 263)
Frame: 31, Object ID: 1, Start: (603, 453), End: (606, 480)
Frame: 31, Object ID: 2, Start: (575, 439), End: (539, 365)
Frame: 31, Object ID: 3, Start: (618, 424), End: (590, 362)
Frame: 31, Object ID: 4, Start: (623, 345), End: (591, 280)
Frame: 31, Object ID: 5, Start: (503, 320), End: (479, 263)
Frame: 32, Object ID: 1, Start: (605, 455), End: (605, 479)
Frame: 32, Object ID: 2, Start: (575, 439), End: (539, 364)
Frame: 32, Object ID: 3, Start: (587, 356), End: (618, 424)
Frame: 32, Object ID: 4, Start: (622, 345), End: (592, 279)
Frame: 32, Object ID: 5, Start: (503, 320), End: (479, 263)
Frame: 33, Object ID: 1, Start: (604, 453), End: (605, 479)
Frame: 33, Object ID: 2, Start: (575, 439), End: (538, 362)
Frame: 33, Object ID: 3, Start: (618, 424), End: (589, 360)
Frame: 33, Object ID: 4, Start: (622, 345), End: (591, 277)
Frame: 33, Object ID: 5, Start: (503, 320), End: (479, 263)
Frame: 34, Object ID: 1, Start: (604, 479), End: (604, 453)
Frame: 34, Object ID: 2, Start: (575, 439), End: (538, 362)
Frame: 34, Object ID: 3, Start: (618, 424), End: (588, 359)
Frame: 34, Object ID: 4, Start: (622, 345), End: (590, 276)
Frame: 34, Object ID: 5, Start: (503, 320), End: (479, 263)
Frame: 35, Object ID: 1, Start: (587, 440), End: (609, 481)
Frame: 35, Object ID: 2, Start: (574, 439), End: (538, 360)
Frame: 35, Object ID: 3, Start: (618, 423), End: (588, 359)
Frame: 35, Object ID: 4, Start: (621, 345), End: (590, 276)
Frame: 35, Object ID: 5, Start: (503, 321), End: (477, 261)
Frame: 36, Object ID: 1, Start: (600, 446), End: (606, 480)
