Frame: 0, Object ID: 1, Start: (377, 470), End: (362, 470)
Frame: 0, Object ID: 2, Start: (624, 295), End: (532, 305)
Frame: 0, Object ID: 3, Start: (523, 209), End: (586, 202)
Frame: 0, Object ID: 4, Start: (640, 199), End: (614, 203)
Frame: 0, Object ID: 5, Start: (638, 168), End: (581, 172)
Frame: 1, Object ID: 1, Start: (370, 477), End: (370, 462)
Frame: 1, Object ID: 2, Start: (624, 295), End: (529, 305)
Frame: 1, Object ID: 3, Start: (522, 208), End: (586, 202)
Frame: 1, Object ID: 4, Start: (608, 202), End: (639, 200)
Frame: 1, Object ID: 5, Start: (638, 168), End: (580, 172)
Frame: 2, Object ID: 1, Start: (624, 295), End: (529, 305)
Frame: 2, Object ID: 2, Start: (521, 209), End: (586, 202)
Frame: 2, Object ID: 3, Start: (607, 202), End: (639, 200)
Frame: 2, Object ID: 4, Start: (638, 169), End: (579, 171)
Frame: 3, Object ID: 1, Start: (624, 295), End: (528, 305)
Frame: 3, Object ID: 2, Start: (520, 208), End: (585, 202)
Frame: 3, Object ID: 3, Start: (603, 202), End: (639, 200)
Frame: 3, Object ID: 4, Start: (626, 169), End: (579, 172)
Frame: 4, Object ID: 1, Start: (624, 296), End: (527, 303)
Frame: 4, Object ID: 2, Start: (520, 209), End: (585, 202)
Frame: 4, Object ID: 3, Start: (605, 202), End: (639, 199)
Frame: 4, Object ID: 4, Start: (626, 169), End: (579, 172)
Frame: 5, Object ID: 1, Start: (624, 296), End: (527, 303)
Frame: 5, Object ID: 2, Start: (588, 202), End: (519, 209)
Frame: 5, Object ID: 3, Start: (640, 199), End: (605, 203)
Frame: 5, Object ID: 4, Start: (581, 172), End: (625, 169)
Frame: 6, Object ID: 1, Start: (624, 296), End: (527, 303)
Frame: 6, Object ID: 2, Start: (585, 202), End: (518, 209)
Frame: 6, Object ID: 3, Start: (640, 199), End: (602, 204)
Frame: 6, Object ID: 4, Start: (581, 172), End: (625, 169)
Frame: 7, Object ID: 1, Start: (624, 296), End: (526, 303)
Frame: 7, Object ID: 2, Start: (585, 203), End: (517, 208)
Frame: 7, Object ID: 3, Start: (591, 203), End: (639, 200)
Frame: 7, Object ID: 4, Start: (625, 169), End: (587, 171)
Frame: 8, Object ID: 1, Start: (518, 303), End: (624, 296)
Frame: 8, Object ID: 2, Start: (583, 203), End: (517, 208)
Frame: 8, Object ID: 3, Start: (590, 203), End: (640, 199)
Frame: 8, Object ID: 4, Start: (625, 169), End: (588, 171)
Frame: 9, Object ID: 1, Start: (624, 296), End: (518, 304)
Frame: 9, Object ID: 2, Start: (560, 205), End: (518, 208)
Frame: 9, Object ID: 3, Start: (559, 204), End: (583, 204)
Frame: 9, Object ID: 4, Start: (590, 203), End: (640, 199)
Frame: 9, Object ID: 5, Start: (624, 169), End: (585, 171)
Frame: 10, Object ID: 1, Start: (518, 306), End: (623, 295)
Frame: 10, Object ID: 2, Start: (518, 208), End: (559, 205)
Frame: 10, Object ID: 3, Start: (583, 204), End: (559, 204)
Frame: 10, Object ID: 4, Start: (588, 204), End: (640, 199)
Frame: 10, Object ID: 5, Start: (624, 169), End: (585, 171)
Frame: 11, Object ID: 1, Start: (617, 295), End: (528, 305)
Frame: 11, Object ID: 2, Start: (520, 208), End: (556, 205)
Frame: 11, Object ID: 3, Start: (559, 200), End: (581, 205)
Frame: 11, Object ID: 4, Start: (586, 203), End: (639, 199)
Frame: 12, Object ID: 1, Start: (514, 307), End: (617, 295)
Frame: 12, Object ID: 2, Start: (518, 209), End: (556, 205)
Frame: 12, Object ID: 3, Start: (587, 203), End: (640, 199)
Frame: 12, Object ID: 4, Start: (567, 172), End: (624, 169)
Frame: 13, Object ID: 1, Start: (515, 308), End: (617, 295)
Frame: 13, Object ID: 2, Start: (581, 203), End: (518, 209)
Frame: 13, Object ID: 3, Start: (588, 203), End: (640, 199)
Frame: 13, Object ID: 4, Start: (623, 169), End: (583, 172)
Frame: 14, Object ID: 1, Start: (513, 308), End: (617, 294)
Frame: 14, Object ID: 2, Start: (518, 208), End: (556, 205)
Frame: 14, Object ID: 3, Start: (590, 206), End: (640, 198)
Frame: 14, Object ID: 4, Start: (623, 170), End: (582, 171)
Frame: 15, Object ID: 1, Start: (616, 294), End: (527, 307)
Frame: 15, Object ID: 2, Start: (518, 209), End: (556, 205)
Frame: 15, Object ID: 3, Start: (590, 206), End: (640, 198)
Frame: 15, Object ID: 4, Start: (623, 170), End: (582, 171)
Frame: 16, Object ID: 1, Start: (519, 307), End: (616, 294)
Frame: 16, Object ID: 2, Start: (517, 209), End: (556, 205)
Frame: 16, Object ID: 3, Start: (558, 204), End: (586, 202)
Frame: 16, Object ID: 4, Start: (588, 207), End: (640, 198)
Frame: 17, Object ID: 1, Start: (516, 309), End: (617, 294)
Frame: 17, Object ID: 2, Start: (556, 204), End: (517, 210)
Frame: 17, Object ID: 3, Start: (640, 198), End: (592, 205)
Frame: 17, Object ID: 4, Start: (617, 171), End: (578, 173)
Frame: 18, Object ID: 1, Start: (617, 295), End: (514, 307)
Frame: 18, Object ID: 2, Start: (516, 211), End: (556, 204)
Frame: 18, Object ID: 3, Start: (639, 199), End: (558, 206)
Frame: 19, Object ID: 1, Start: (505, 311), End: (617, 294)
Frame: 19, Object ID: 2, Start: (516, 210), End: (640, 199)
Frame: 19, Object ID: 3, Start: (617, 172), End: (567, 172)
Frame: 20, Object ID: 1, Start: (617, 293), End: (516, 311)
Frame: 20, Object ID: 2, Start: (515, 210), End: (639, 199)
Frame: 20, Object ID: 3, Start: (558, 172), End: (617, 172)
Frame: 21, Object ID: 1, Start: (616, 293), End: (518, 311)
Frame: 21, Object ID: 2, Start: (515, 210), End: (640, 199)
Frame: 21, Object ID: 3, Start: (558, 172), End: (618, 172)
Frame: 22, Object ID: 1, Start: (616, 293), End: (519, 311)
Frame: 22, Object ID: 2, Start: (616, 250), End: (639, 250)
Frame: 22, Object ID: 3, Start: (515, 208), End: (639, 199)
Frame: 22, Object ID: 4, Start: (556, 172), End: (618, 172)
Frame: 22, Object ID: 5, Start: (495, 150), End: (469, 150)
Frame: 23, Object ID: 1, Start: (592, 297), End: (518, 311)
Frame: 23, Object ID: 2, Start: (581, 298), End: (615, 296)
Frame: 23, Object ID: 3, Start: (639, 250), End: (615, 250)
Frame: 23, Object ID: 4, Start: (514, 212), End: (559, 203)
Frame: 24, Object ID: 1, Start: (592, 297), End: (518, 311)
Frame: 24, Object ID: 2, Start: (615, 295), End: (581, 298)
Frame: 24, Object ID: 3, Start: (640, 197), End: (513, 214)
Frame: 24, Object ID: 4, Start: (554, 173), End: (621, 171)
Frame: 25, Object ID: 1, Start: (592, 297), End: (516, 311)
