Frame: 0, Object ID: 1, Start: (1063, 299), End: (702, 325)
Frame: 0, Object ID: 2, Start: (2, 279), End: (680, 334)
Frame: 0, Object ID: 3, Start: (1097, 291), End: (1273, 284)
Frame: 0, Object ID: 4, Start: (886, 191), End: (1273, 186)
Frame: 1, Object ID: 1, Start: (1063, 299), End: (702, 325)
Frame: 1, Object ID: 2, Start: (2, 279), End: (680, 334)
Frame: 1, Object ID: 3, Start: (1097, 291), End: (1273, 284)
Frame: 1, Object ID: 4, Start: (886, 191), End: (1273, 186)
Frame: 2, Object ID: 1, Start: (1063, 299), End: (702, 325)
Frame: 2, Object ID: 2, Start: (2, 279), End: (680, 334)
Frame: 2, Object ID: 3, Start: (1097, 291), End: (1273, 284)
Frame: 2, Object ID: 4, Start: (886, 191), End: (1273, 186)
Frame: 3, Object ID: 1, Start: (1068, 287), End: (701, 327)
Frame: 3, Object ID: 2, Start: (1, 299), End: (683, 343)
Frame: 3, Object ID: 3, Start: (1273, 282), End: (1099, 295)
Frame: 3, Object ID: 4, Start: (886, 190), End: (1273, 186)
Frame: 4, Object ID: 1, Start: (1068, 287), End: (701, 327)
Frame: 4, Object ID: 2, Start: (1, 299), End: (683, 343)
Frame: 4, Object ID: 3, Start: (1273, 282), End: (1099, 295)
Frame: 4, Object ID: 4, Start: (887, 191), End: (1273, 187)
Frame: 5, Object ID: 1, Start: (1068, 287), End: (701, 327)
Frame: 5, Object ID: 2, Start: (1, 299), End: (683, 343)
Frame: 5, Object ID: 3, Start: (1273, 282), End: (1099, 295)
Frame: 5, Object ID: 4, Start: (887, 191), End: (1273, 187)
Frame: 6, Object ID: 1, Start: (1068, 287), End: (701, 327)
Frame: 6, Object ID: 2, Start: (1, 299), End: (683, 343)
Frame: 6, Object ID: 3, Start: (1273, 282), End: (1099, 295)
Frame: 6, Object ID: 4, Start: (887, 191), End: (1273, 187)
Frame: 7, Object ID: 1, Start: (1068, 287), End: (701, 327)
Frame: 7, Object ID: 2, Start: (1, 299), End: (683, 343)
Frame: 7, Object ID: 3, Start: (1273, 282), End: (1099, 295)
Frame: 7, Object ID: 4, Start: (887, 191), End: (1273, 187)
Frame: 8, Object ID: 1, Start: (1068, 287), End: (701, 327)
Frame: 8, Object ID: 2, Start: (1, 299), End: (683, 343)
Frame: 8, Object ID: 3, Start: (1273, 282), End: (1099, 295)
Frame: 8, Object ID: 4, Start: (887, 191), End: (1273, 187)
Frame: 9, Object ID: 1, Start: (962, 306), End: (724, 321)
Frame: 9, Object ID: 2, Start: (1, 300), End: (685, 344)
Frame: 9, Object ID: 3, Start: (1272, 280), End: (1093, 297)
Frame: 9, Object ID: 4, Start: (891, 190), End: (1273, 186)
Frame: 10, Object ID: 1, Start: (962, 306), End: (724, 321)
Frame: 10, Object ID: 2, Start: (1, 300), End: (685, 344)
Frame: 10, Object ID: 3, Start: (1272, 280), End: (1093, 297)
Frame: 10, Object ID: 4, Start: (891, 190), End: (1273, 186)
Frame: 11, Object ID: 1, Start: (962, 306), End: (724, 321)
Frame: 11, Object ID: 2, Start: (1, 300), End: (685, 344)
Frame: 11, Object ID: 3, Start: (1272, 280), End: (1093, 297)
